name,2020,2021Ab,1,1
Adian,34,37
Adib,30,28
Adiba,30,30
Adie,10,10
Adiel,1,1
Adiem,0,1
Adijan,2,2
Adil,176,179
Adile,91,90
Adilon,1,1
Adils,0,0
Adim,0,0
Adin,52,55
Adina,97,98
Adinah,1,1
Adinani,0,0
Adindu,1,1
Adine,5,5
Adinna,0,0
Adira,1,1
Adirake,1,1
Adis,125,126
Adisa,56,54
Adison,2,2
Adisorn,0,0
Adissa,1,1
Adistya,0,0
Adita,1,1
Adith,1,1
Adithi,2,3
Adithya,3,2
Aditi,24,23
Aditri,7,7
Aditya,43,39
Adiva,1,1
Adixia,1,1
Adiya,4,4
Adjazia,1,1
Adjé,0,0
Adjeiley,0,0
Adjele,0,0
Adjin,0,0
Adjo,2,2
Adjoa,4,4
Adjua,0,0
Adlan,5,5
Adlene,1,1
Adler,7,6
Adlin,2,2
Admas,2,2
Admasu,1,1
Admer,1,1
Admir,129,128
Admon,2,2
Adna,62,64
Adnan,686,695
Adnana,8,8
Adnela,3,3
Adnit,1,1
Adnaan,2,2
Ado,6,6
Adobea,0,0
Adolf,83,76
Adolfe,0,0
Adolfina,2,2
Adolfine,3,3
Adolph,3,3
Adolphine,2,2
Adolphus,1,1
Adom,0,0
Adoma,0,0
Adomas,30,29
Adona,2,2
Adonai,2,2
Adonay,11,13
Adonias,1,1
Adonis,14,15
Adora,5,7
Adorela,1,1
Adorjan,1,1
Adowaa,0,0
Adrean,1,1
Adreanna,0,0
Adreena,0,1
Adria,7,8
Adrian,1964,2015
Adrián,0,0
Adriana,347,354
Adríana,0,0
Adriane,12,11
Adrianlee,0,0
Adrianlucaeh,0,1
Adrianna,73,78
Adrianne,8,8
Adriano,38,40
Adrians,11,10
Adrianus,20,20
Adriatik,2,2
Adriel,14,14
Adriella,2,2
Adrielle,6,6
Adrien,42,44
Adrienne,23,23
Adriis,1,1
Adrija,16,17
Adrijan,5,6
Adrijana,16,16
Adrijus,4,4
Adrin,4,5
Adrina,4,4
Adriyan,3,3
Adrosh,1,1
Adser,7,7
Adsudan,1,1
Adu,4,4
Adubea,0,0
Adufe,0,0
Aduku,0,0
Adukwei,0,0
Aduur,0,0
Adva,2,2
Advaith,2,2
Advan,5,5
Advi,0,0
Advik,15,15
Advika,7,7
Advikan,0,0
Advit,4,7
Advith,0,2
Advitya,1,1
Adwan,1,1
Adwita,2,2
Adwoa,7,6
Ady,43,41
Adya,1,1
Adyan,9,9
Adzkiya,1,1
Ae,5,5
Aécio,0,0
Aedan,3,3
Aeen,1,1
Aegon,0,1
Aeindri,0,0
Aeirisha,1,1
Aeirishan,1,1
Aeja,0,0
Aela,4,4
Aelin,1,1
Aelita,3,3
Aella,0,0
Aelle,1,1
Aend,2,2
Aenea,2,2
Aeneas,1,1
Aenias,1,1
Aenor,0,1
Aerambu,0,0
Aeris,1,1
Aerith,0,0
Aeva,3,3
Aezha,0,0
Afaf,45,46
Afak,2,2
Afam,2,2
Afan,5,5
Afanwi,0,0
Afanyu,0,0
Afeef,1,1
Afeen,3,3
Afeerah,0,0
Afelay,1,1
Afeline,1,1
Afeni,0,1
Aferdita,27,26
Afewerki,6,5
Aff,7,7
Affan,6,6
Affry,1,1
Afi,4,4
