Alzeyosabor,0,0
Álaan,1,1
Amadea,0,0
Amaechi,0,0
Amaëlle,1,1
Amália,0,0
Amalius,0,0
Amalthiea,0,0
Amalur,0,0
Amand,0,0
Amandajo,0,0
Amanón,0,1
Amanwi,0,0
Amaranta,0,0
Amareen,0,0
Amari,0,0
Amarin,0,0
Amarok,0,0
Amart,0,0
Amartei,0,0
Amarteley,0,0
Amatachaanan,0,0
Amatallah,0,0
Amatey,0,0
Amayapi,0,0
Ambe,0,0
Amberlyn,0,0
Ambjorn,0,0
Ambjørn,3,2
Ambless,0,0
Ambrosine,0,0
Amé,2,1
Amedeora,0,0
Améja,1,0
Amél,0,1
Amele,0,0
Améli,0,1
Amélia,5,6
Amelía,3,3
Amélie,95,96
Amèlie,5,6
Amelíe,2,2
Amélina,1,1
Amelo,0,0
Ameria,0,0
Amestan,0,0
Ameyá,1,1
Amfwelo,0,0
Amieé,1,1
Amielin,0,0
Amilas,0,0
Amilda,0,0
Amirhta,0,0
Amirthap,0,0
Ammelii,0,0
Ammund,0,0
Amoako,0,0
Amoanemaa,0,0
Amonthep,0,0
Amorkor,0,0
Amornchai,0,0
Amosah,0,0
Ampomah,0,0
Ampong,0,0
Amsan,0,0
Amunasa,0,0
Amyrsa,0,0
Amaani,0,0
Anacleta,0,0
Anaël,1,1
Anaëlle,5,4
Anaib,0,0
Anaïs,25,29
Anaissa,0,0
Anamariia,0,0
Anaminna,0,0
Anande,0,0
Anangisye,0,0
Ananie,0,0
Ananth,0,0
Anarka,0,0
Anasofiah,0,0
Anasta,0,0
Anatasie,0,0
Anaton,0,0
Anayabelle,0,0
Anayasania,0,0
Anazofiia,0,0
Anbella,0,0
Anbo,0,0
Ancer,0,0
Anchela,0,0
Anchi,0,0
Andante,0,0
Anddy,0,0
Ànders,1,0
Andersluka,0,0
Andinyo,0,0
András,27,28
Andràs,0,0
André,1422,1442
Andrè,41,39
Andréa,5,4
Andrëalia,1,1
Andrée,5,6
Andrèe,0,0
Andréja,1,1
Andrés,48,43
Andrez,0,0
Andromache,0,0
Andylee,0,0
Ané,3,4
Anéah,0,0
Anedin,0,0
Anèe,0,0
Aneéleviah,0,0
Anegry,0,0
Anelela,0,0
Anelía,1,1
Anelie,0,0
Anelija,0,0
Aneni,0,0
Anesine,0,0
Anesu,0,0
Anét,1,1
Anettele,0,0
Anfield,0,0
Angantyra,0,0
Angèle,1,1
Angélina,2,2
Angèlique,2,2
Angeliya,0,0
Angellicka,0,0
Angenita,0,0
Angeria,0,0
Angerla,0,0
Angerlatoq,0,0
Anghna,0,0
Angielica,0,0
Angiolina,0,0
Angmalortok,0,0
Angul,0,0
Anhild,0,0
Anialeena,0,0
Anicée,0,0
Anichebe,0,0
Anidrananda,0,0
Anietie,0,0
Anikha,0,0
Anilia,0,0
Anim,0,0
Aniqah,0,0
Anisja,0,0
Anismos,0,0
Aníta,9,8
Anitacelline,0,0
Anitaelvina,0,0
Anitalina,0,0
Anitaanastasia,0,0
Anjanée,1,1
Anjuna,0,0
Anjuska,0,0
Anjaamalia,0,0
Ankamah,0,0
Ankersteen,0,0
Ankh,0,0
Anlizel,0,0
Anlun,0,0
Anmire,0,0
Annabélle,2,2
Annabjørk,1,1
Annachristine,0,0
Annacilia,0,0
Annahaylee,0,0
Annakeciia,0,0
Anna-Likka,0,0
Annalil,0,0
Annalura,0,0
Annamariie,0,0
Annanea,0,0
Annasia,0,0
Annasol,0,0
Annathia,0,0
Annazofiia,0,0
Annbjørg,1,2
Anndea,0,0
Anndreia,0,0
Anné,5,4
Anneaida,0,0
Anneanelia,0,0
Anneaya,0,0
Anneemaj,0,0
Anneflora,0,0
Annelouiise,0,0
Annelærke,1,1
Annemy,0,0
Annetteliis,0,0
Anney,0,0
Annfrið,0,0
Annimai,0,0
Anninna,0,0
Ann-Karinina,0,0
Annmaré,0,0
Annruna,0,0
Annvør,2,2
Annx,0,0
Annæ,0,0
Annæus,3,3
Anosant,0,0
Anou,0,0
Anouskha,0,0
Anquelina,0,0
Anrinia,0,0
Anshel,0,0
Ansingire,0,0
Ansophie,0,0
Answar,0,0
Antelica,0,0
Antheus,0,0
Anthonius,0,0
Anthos,0,0
Antio,0,0
Antone,0,0
Antonine,0,0
António,23,25
Antonnette,0,0
Anttoinete,0,0
Ántus,0,0
Anuer,0,0
Anuka,0,0
Anuki,0,0
Anuoluwapo,0,0
Anushuya,0,0
Anussan,0,0
Anvit,0,0
Anwiya,0,0
Anyan,0,0
Anyanjo,0,0
Anyara,0,0
Anye,0,0
Anyelica,0,0
Anyella,0,0
Anyume,0,0
Anzelm,0,0
Anæus,1,1
Aodán,1,1
Aodhán,1,1
Aoifé,1,1
